,loss,model,accs,thresh,,,,,mean diff,Value – mean,,var,std,,s_mean(x),t
213,0.016867769420147,VGG16_XXS,0.1689,0.95,,,0.6188,,0.663355,0.001985148025,,,,,,
214,0.016311808598042,VGG16_XXS,0.1771,0.96,,,0.6106,,0.617325,4.52256249999982E-05,,,,,,
215,0.016068808960915,VGG16_XXS,0.189,0.97,,,0.5987,,0.49026,0.0117592336,,,,,,
216,0.013141245901585,VGG16_XXS,0.4152,0.98,,,0.3725,,0.32279,0.0024710841,,,,,,
217,0.008430324631929,VGG16_XXS,0.6499,0.99,,,0.1378,,0.145465,5.87522249999997E-05,,,,,,
218,0.008255836862326,VGG16_XXS,0.6493,0.992,,,0.1384,,0.10781,0.0009357481,,,,,,
219,0.006031792247295,VGG16_XXS,0.7474,0.994,,,0.0403,,0.08018,0.0015904144,,,,,,
220,0.005784264069796,VGG16_XXS,0.7557,0.996,,,0.032,,0.04062,7.43043999999998E-05,,,,,,
221,0.005662999659777,VGG16_XXS,0.7589,0.998,,,0.0288,,0.01974,8.20836000000006E-05,,,,,,
222,0.005645033916831,VGG16_XXS,0.7588,0.999,,,0.0289,,0.01709,0.0001394761,,,,,,
223,0.004984983092546,VGG16_XXS,0.7877,3,,,0,,0,0,,,,,,
224,0.019346604442597,VGG16_XXXS,0.1,0.9,,,0.5707,,0.7016,0.01713481,,,,,,
225,0.018718174624443,VGG16_XXXS,0.1155,0.91,,,0.5552,,0.699655,0.020867247025,,,,,,
226,0.018349745368958,VGG16_XXXS,0.1528,0.92,,,0.5179,,0.6954,0.03150625,,,,,,
227,0.018409216570854,VGG16_XXXS,0.1503,0.93,,,0.5204,,0.691975,0.029437980625,,,,,,
228,0.017539280438423,VGG16_XXXS,0.1735,0.94,,,0.4972,,0.68129,0.0338891281,,,,,,
229,0.017340241527557,VGG16_XXXS,0.1762,0.95,,,0.4945,,0.663355,0.028512011025,,,,,,
230,0.0166618039608,VGG16_XXXS,0.1731,0.96,,,0.4976,,0.617325,0.014334075625,,,,,,
231,0.016538421404362,VGG16_XXXS,0.182,0.97,,,0.4887,,0.49026,2.43359999999967E-06,,,,,,
232,0.014285324525833,VGG16_XXXS,0.3069,0.98,,,0.3638,,0.32279,0.0016818201,,,,,,
233,0.011480376911163,VGG16_XXXS,0.4836,0.99,,,0.1871,,0.145465,0.001733473225,,,,,,
234,0.009136625570059,VGG16_XXXS,0.5916,0.992,,,0.0791,,0.10781,0.0008242641,,,,,,
235,0.008775548166037,VGG16_XXXS,0.6078,0.994,,,0.0629,,0.08018,0.0002985984,,,,,,
236,0.008598363417387,VGG16_XXXS,0.6188,0.996,,,0.0519,,0.04062,0.0001272384,,,,,,
237,0.008614171630144,VGG16_XXXS,0.6188,0.998,,,0.0519,,0.01974,0.0010342656,,,,,,
238,0.008569940084219,VGG16_XXXS,0.6203,0.999,,,0.0504,,0.01709,0.0011095561,,,,,,
239,0.007473703914881,VGG16_XXXS,0.6707,3,,,0,,0,0,,,,,,
240,0.032864921832085,VGG19,0.1339,0.9,,,0.7468,,0.7016,0.00204304,,,,,,
241,0.032442973589897,VGG19,0.1388,0.91,,,0.7419,,0.699655,0.001784640025,,,,,,
242,0.031101816439629,VGG19,0.1196,0.92,,,0.7611,,0.6954,0.00431649,,,,,,
243,0.030291011714935,VGG19,0.1198,0.93,,,0.7609,,0.691975,0.004750655625,,,,,,
